scenario,stage,participant,period,target_mwh
Baseline,IDA1,W_C,18,5.5135250575
Baseline,IDA1,W_C,19,4.3823377425
Baseline,IDA1,W_C,20,4.3823377425
Baseline,IDA1,W_C,21,2.78918142
Baseline,IDA1,W_C,22,2.78918142
Baseline,IDA1,W_C,23,1.45769173775
Baseline,IDA1,W_C,24,1.45769173775
Baseline,IDA1,W_C,25,1.00382742425
Baseline,IDA1,W_C,26,1.00382742425
Baseline,IDA1,W_C,27,0.9077286269999999
Baseline,IDA1,W_C,28,0.9077286269999999
Baseline,IDA1,W_C,29,0.91930678825
Baseline,IDA1,W_C,30,0.91930678825
Baseline,IDA1,W_C,31,0.9876179985
Baseline,IDA1,W_C,32,0.9876179985
Baseline,IDA1,W_C,33,1.2168657875
Baseline,IDA1,W_C,34,1.2168657875
Baseline,IDA1,W_C,35,1.32570058175
Baseline,IDA1,W_C,36,1.32570058175
Baseline,IDA1,W_C,37,1.21455015525
Baseline,IDA1,W_C,38,1.21455015525
Baseline,IDA1,W_C,39,0.7815265319999999
Baseline,IDA1,W_C,40,0.7815265319999999
Baseline,IDA1,W_C,41,0.537227153
Baseline,IDA1,W_C,42,0.537227153
Baseline,IDA1,W_C,43,0.8903613655
