scenario,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
No revision,PV_A,FM,0,0,0,0,0,,,694.8281562,5.000000165011897e-07
No revision,PV_A,DAM,0,694.8281544,0,90495.82394112801,90495.82394112801,,130.24202224400827,694.8281562,5.000000165011897e-07
No revision,PV_A,IDA1,1.1e-06,3.3999999999999996e-06,0.0001456892,0.00044932800000000003,0.0003036388,,,694.8281562,5.000000165011897e-07
No revision,PV_A,IDA2,0,0,0,0,0,,,694.8281562,5.000000165011897e-07
No revision,PV_A,IDA3,0,0,0,0,0,,,694.8281562,5.000000165011897e-07
No revision,W_C,ALL,0,46.5905604445,0,5319.32693832326,5319.32693832326,,114.17177401546378,46.590560435,8.340000007267534e-08
No revision,W_C,FM,0,32.613392304499996,0,3284.6345106675,3284.6345106675,,100.71428571428572,46.590560435,8.340000007267534e-08
No revision,W_C,DAM,0,13.97716814,0,2034.69242765576,2034.69242765576,,145.57258003020345,46.590560435,8.340000007267534e-08
No revision,W_C,IDA1,0,0,0,0,0,,,46.590560435,8.340000007267534e-08
No revision,W_C,IDA2,0,0,0,0,0,,,46.590560435,8.340000007267534e-08
No revision,W_C,IDA3,0,0,0,0,0,,,46.590560435,8.340000007267534e-08
No revision,W_A,ALL,0,46.59056065,0,6782.3081192283,6782.3081192283,,145.57258003780427,46.590560435,7.240000010622083e-07
No revision,W_A,FM,0,0,0,0,0,,,46.590560435,7.240000010622083e-07
No revision,W_A,DAM,0,46.59056065,0,6782.3081192283,6782.3081192283,,145.57258003780427,46.590560435,7.240000010622083e-07
No revision,W_A,IDA1,0,0,0,0,0,,,46.590560435,7.240000010622083e-07
No revision,W_A,IDA2,0,0,0,0,0,,,46.590560435,7.240000010622083e-07
No revision,W_A,IDA3,0,0,0,0,0,,,46.590560435,7.240000010622083e-07
Double revision,DKL_ICE_H,ALL,0,2518.084636,0,362840.5548908,362840.5548908,,144.0938678960273,,
Double revision,DKL_ICE_H,FM,0,0,0,0,0,,,,
Double revision,DKL_ICE_H,DAM,0,2518.084636,0,362840.5548908,362840.5548908,,144.0938678960273,,
Double revision,DKL_ICE_H,IDA1,0,0,0,0,0,,,,
Double revision,DKL_ICE_H,IDA2,0,0,0,0,0,,,,
Double revision,DKL_ICE_H,IDA3,0,0,0,0,0,,,,
Double revision,VAS_ST_H,ALL,359.462591,6298.500731,46816.407851840006,939646.59520544,892830.1873535999,130.24000000000004,149.18575631509916,,
Double revision,VAS_ST_H,FM,0,0,0,0,0,,,,
Double revision,VAS_ST_H,DAM,0,6298.500731,0,939646.59520544,939646.59520544,,149.18575631509916,,
Double revision,VAS_ST_H,IDA1,359.462591,0,46816.407851840006,0,-46816.407851840006,130.24000000000004,,,
Double revision,VAS_ST_H,IDA2,0,0,0,0,0,,,,
Double revision,VAS_ST_H,IDA3,0,0,0,0,0,,,,
